quiz_id,category,question,choice_a,choice_b,choice_c,correct_answer,explanation
Q001,"会社情報","山口産業株式会社の本社所在地はどこですか？","佐賀県多久市","福岡県福岡市","佐賀県佐賀市",A,"山口産業株式会社の本社は佐賀県多久市多久町3555-120にあります。"
Q002,"会社情報","山口産業株式会社の設立年はいつですか？","1972年","1976年","1980年",B,"山口産業株式会社は1976年12月25日に設立されました。創業は1972年4月1日です。"
Q003,"会社情報","山口産業株式会社のブランド名「Membry」の由来は何ですか？","Memory + Bright","Membrane + Brilliant","Member + Industry",B,"Membryは「Membrane（膜）」と「Brilliant（輝く）」を組み合わせた造語です。"
Q004,"会社情報","山口産業株式会社の2024年度売上高は約いくらですか？","約30億円","約42億円","約55億円",B,"2024年度7月期の売上高実績は42億2千万円です。"
Q005,"会社情報","山口産業株式会社の従業員数は約何人ですか？","約100人","約150人","約200人",B,"従業員数は148人（男116人、女32人）です。"
Q006,"会社情報","山口産業株式会社が取得しているISO認証はどれですか？","ISO14001","ISO9001","ISO27001",B,"山口産業株式会社は2003年5月にISO9001認証を取得しています。"
Q007,"会社情報","山口産業株式会社の代表者は誰ですか？","山口篤樹","山口太郎","山口健一",A,"山口産業株式会社の代表者は山口篤樹氏です。"
Q008,"会社情報","山口産業株式会社の資本金はいくらですか？","1千万円","2千万円","5千万円",B,"山口産業株式会社の資本金は2千万円です。"
Q009,"会社情報","山口産業株式会社の施工実績は何棟以上ですか？","1,000棟以上","2,000棟以上","3,000棟以上",B,"山口産業株式会社は2,000棟以上の施工実績があります。"
Q010,"会社情報","山口産業株式会社が取得した鉄骨製作工場の認定グレードは何ですか？","Sグレード","Mグレード","Hグレード",B,"2018年12月に鉄骨製作工場のMグレード認定を取得しています。"
Q011,"会社情報","山口産業株式会社のスローガンは何ですか？","膜で未来を創る","最前線に膜を張る","膜構造のパイオニア",B,"山口産業株式会社のスローガンは「最前線に膜を張る」です。"
Q012,"会社情報","山口産業株式会社の創業年はいつですか？","1970年","1972年","1975年",B,"山口産業株式会社の創業は1972年4月1日です。"
Q013,"会社情報","山口産業株式会社が持つ建設業の許可は何ですか？","一般建設業","特定建設業","簡易建設業",B,"山口産業株式会社は特定建設業の許可を取得しています。"
Q014,"会社情報","山口産業株式会社の全国営業所数は約いくつですか？","5営業所","9営業所","12営業所",B,"山口産業株式会社は全国に9営業所を展開しています。"
Q015,"会社情報","山口産業株式会社の工場数はいくつですか？","3工場","5工場","7工場",B,"山口産業株式会社は5工場を展開しています。"
Q016,"産業用製品","山口産業の規格化テント倉庫の商品名は何ですか？","スマートハウス","グリッドハウス","フレックスハウス",B,"規格化テント倉庫は「Grid House（グリッドハウス）」という商品名です。"
Q017,"産業用製品","グリッドハウスのサイズバリエーションは何種類以上ありますか？","20種類以上","33種類以上","50種類以上",B,"グリッドハウスは33種類以上のサイズバリエーションが用意されています。"
Q018,"産業用製品","グリッドハウスの共通軒高は何メートルですか？","4m","5m","6m",B,"グリッドハウスの軒高は全サイズ共通で5mです。"
Q019,"産業用製品","グリッドハウスの3つのPOINTに含まれないものはどれですか？","低コスト","短納期","大型化",C,"グリッドハウスの3つのPOINTは「低コスト」「短納期」「高品質」です。"
